Unnamed: 0,owner,created_at,id,post_id,text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed
105,"{""username"":""focused_on_canada"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/16465879_712659412241317_4468869357878902784_a.jpg"",""id"":""2714045""}",1491867554,1.78784e+16,2017-04-10_13-34-11,Merci de présenter ma photo,[],[],Merci de senter photo,"['Merci', 'de', 'senter', 'photo']","[u'merci', 'de', u'senter', u'photo']"
106,"{""username"":""jeanne_tessou"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/12940050_775399249262282_1518194983_a.jpg"",""id"":""2088419667""}",1494261733,1.78685e+16,2017-04-12_13-25-13,Magnifique,[],[],Magnifique,['Magnifique'],[u'magnifiqu']
107,"{""username"":""schrodobaggins"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/15802770_159619087855746_573256032390742016_a.jpg"",""id"":""1348921182""}",1492061125,1.78533e+16,2017-04-12_13-25-13,,[],[],nan,['nan'],[u'nan']
108,"{""username"":""cwf_fcf"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/15802274_400498946952639_2413330814973509632_a.jpg"",""id"":""449240835""}",1492043391,1.78799e+16,2017-04-12_13-25-13,Bonne !,"['#SemaineDeLaFaune', '#ConserveLesMerveilles']",[],Bonne,['Bonne'],[u'bonn']
109,"{""username"":""immigratecanadian"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/14733377_1735800076672209_5086034056412397568_a.jpg"",""id"":""4103251429""}",1492030311,1.78536e+16,2017-04-12_13-25-13,I like your style!,[],[],like style,"['like', 'style']","[u'like', u'style']"
110,"{""username"":""pinealprojects"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/14052684_1735504180032240_2081894257_a.jpg"",""id"":""3650355307""}",1492137026,1.78784e+16,2017-04-13_14-35-42,"Great content, I love this! I think you would resonate with the stuff i talk about. Feel free to take a look",[],[],Great content love think would resonate stuff talk Feel free take look,"['Great', 'content', 'love', 'think', 'would', 'resonate', 'stuff', 'talk', 'Feel', 'free', 'take', 'look']","[u'great', u'content', u'love', u'think', u'would', u'reson', u'stuff', u'talk', u'feel', u'free', u'take', u'look']"
111,"{""username"":""dancer_is_cool"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/14701185_1245886662119700_3399187201391591424_a.jpg"",""id"":""4088233173""}",1492381115,1.78552e+16,2017-04-15_12-09-36,So cute,[],[],cute,['cute'],[u'cute']
112,"{""username"":""genstmp"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25039082_2027160454236385_9038467376865083392_n.jpg"",""id"":""23254845""}",1492286252,1.7855e+16,2017-04-15_12-09-36,,[],[],nan,['nan'],[u'nan']
113,"{""username"":""lheuredebarouder"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/15624618_1204684162948204_6701310023089258496_a.jpg"",""id"":""2960213367""}",1492284151,1.78688e+16,2017-04-15_12-09-36,Trop chou,[],[],Trop chou,"['Trop', 'chou']","[u'trop', u'chou']"
114,"{""username"":""charlyne_on_my_way"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/26331186_920514541437949_6262494988278431744_n.jpg"",""id"":""39422179""}",1492393692,1.78536e+16,2017-04-16_16-23-59,Lovely,[],[],Lovely,['Lovely'],[u'love']
