,owner,created_at,id,post_id,text_cleaned,hashtags,urls
69,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1498596666,1.78741E+16,2017-06-22_08-05-11,Hello you can follow our English account for EN updates,[],[]
70,"{""username"":""eduardodomngo"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/19050210_1097645040336358_4756126520211144704_a.jpg"",""id"":""5580357196""}",1498328755,1.78785E+16,2017-06-22_08-05-11,I'm looking forward to hear for more good news from ECCC.,[],[]
71,"{""username"":""eduardodomngo"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/19050210_1097645040336358_4756126520211144704_a.jpg"",""id"":""5580357196""}",1498328581,1.7863E+16,2017-06-22_08-05-11,Good Day!! I like to know more about the achievements of ECCC.Could you please put an option to translate it on English language.Kind regards and God Bless!!,[],[]
72,"{""username"":""divestravels"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25022681_942341975928347_1296881824751943680_n.jpg"",""id"":""246243251""}",1499479823,1.78756E+16,2017-06-29_10-02-26,Like it!,[],[]
73,"{""username"":""jelleu"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/14135097_681016765400060_826889632_a.jpg"",""id"":""13605726""}",1500409895,1.78776E+16,2017-07-18_13-30-12,"Great picture! Good job, LIKE! Have you seen my insect picture from today?",[],[]
74,"{""username"":""industriediscount"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/23279876_156297778308882_4727621118620336128_n.jpg"",""id"":""426258257""}",1505269643,1.78851E+16,2017-09-11_11-18-37,ECCC classe,[],[]
75,"{""username"":""aaronrphotography"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/13636119_297879243894402_842509726_a.jpg"",""id"":""3032374484""}",1507428165,1.79026E+16,2017-09-19_13-29-02,keep it up! !!,[],[]
76,"{""username"":""easterncities"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25013387_2287900527921379_5110734722569338880_n.jpg"",""id"":""8519101""}",1513198641,1.78957E+16,2017-12-13_12-22-25,,"['#sundog', '#fauxsoleil']",[]
77,"{""username"":""xplainable"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/21911022_1954240818184478_8652217802544906240_n.jpg"",""id"":""6098255952""}",1513336414,1.7913E+16,2017-12-14_11-04-58,cool page!,[],[]
78,"{""username"":""xplainable"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/21911022_1954240818184478_8652217802544906240_n.jpg"",""id"":""6098255952""}",1513307667,1.79002E+16,2017-12-14_11-04-58,I like what I see!,[],[]
